Step,test_acc,train_acc,train_loss,test_loss
0,0.279199988,0.206520006,2.127174854,1.954752088
1,0.382600009,0.327380002,1.817425489,1.680961967
2,0.442000002,0.412800014,1.605455756,1.541026115
3,0.485000014,0.46329999,1.481408119,1.436532259
4,0.514199972,0.50436002,1.383670807,1.364107966
5,0.529900014,0.536000013,1.308893085,1.333494902
6,0.561699986,0.556620002,1.250998974,1.256090522
7,0.58069998,0.578440011,1.193337083,1.189928055
8,0.585900009,0.601220012,1.138524532,1.17807281
9,0.603799999,0.616299987,1.092720747,1.137442827
10,0.620100021,0.634840012,1.048267961,1.084806561
11,0.628899992,0.651920021,1.002656102,1.064511538
12,0.611199975,0.663559973,0.962159991,1.099723697
13,0.632600009,0.677219987,0.924346566,1.059770823
14,0.656799972,0.691919982,0.886242628,0.999815702
15,0.660700023,0.702799976,0.855787694,0.999163926
16,0.651199996,0.715699971,0.820728481,1.023141265
17,0.659200013,0.725839972,0.789349139,0.998649716
18,0.667599976,0.736660004,0.762021542,0.979585886
19,0.66869998,0.745720029,0.729685485,0.969825327
20,0.672999978,0.756460011,0.698686182,0.971512794
21,0.66900003,0.767719984,0.671126187,0.988612354
22,0.676599979,0.775539994,0.645813763,0.953288913
23,0.675400019,0.785880029,0.616413832,0.982725024
24,0.677200019,0.792699993,0.594174802,0.996242225
25,0.682600021,0.802020013,0.564270079,0.988861263
26,0.684700012,0.81129998,0.538826764,1.010181308
27,0.685299993,0.821560025,0.510696828,1.026332974
28,0.680499971,0.828599989,0.486708641,1.073536277
29,0.682699978,0.836899996,0.465076596,1.057568789
30,0.681200027,0.845560014,0.442115635,1.082130909
31,0.683399975,0.853439987,0.41774714,1.077480912
32,0.671700001,0.859660029,0.396478087,1.169792771
33,0.670700014,0.867200017,0.37163198,1.207303882
34,0.668799996,0.873700023,0.353915155,1.213164568
35,0.674199998,0.882579982,0.331909329,1.231034994
36,0.663100004,0.887700021,0.3176727,1.305717945
37,0.672200024,0.895099998,0.2951428,1.299917817
38,0.675000012,0.899980009,0.280654967,1.377922416
39,0.666999996,0.906719983,0.260387748,1.424000144
40,0.67809999,0.914680004,0.239679322,1.443313479
41,0.664499998,0.916960001,0.231839791,1.539158225
42,0.66839999,0.923839986,0.214025483,1.540042996
43,0.672299981,0.92088002,0.217639461,1.533083558
44,0.673399985,0.930199981,0.193182856,1.61067462
45,0.671800017,0.937439978,0.17801258,1.728159189
46,0.668200016,0.934159994,0.180294663,1.716307998
47,0.676900029,0.938199997,0.173362628,1.670815706
48,0.674899995,0.946680009,0.147471756,1.80098772
49,0.670300007,0.950940013,0.140706047,1.851243496
50,0.67019999,0.949140012,0.139747337,1.914286971
51,0.654699981,0.954140007,0.128065929,2.055694342
52,0.665000021,0.950240016,0.13573499,2.026740313
53,0.66900003,0.950299978,0.134832993,2.064573288
54,0.659099996,0.956219971,0.120504297,2.068045139
55,0.664499998,0.956719995,0.119078994,2.112449884
56,0.662199974,0.96322,0.104174137,2.184033394
57,0.664499998,0.961319983,0.108945198,2.262390614
58,0.664699972,0.960240006,0.110223599,2.221214533
59,0.664799988,0.963140011,0.10160654,2.320103168
60,0.668900013,0.964600027,0.099541627,2.278653622
61,0.669700027,0.965740025,0.096463539,2.328006268
62,0.66960001,0.976480007,0.070180103,2.455567598
63,0.663200021,0.964380026,0.099877551,2.400001287
64,0.670400023,0.964980006,0.099515721,2.429265976
65,0.661899984,0.972980022,0.076547042,2.56165266
66,0.680299997,0.980599999,0.056991898,2.499961376
67,0.669200003,0.979600012,0.058927897,2.608156919
68,0.670099974,0.980859995,0.053968132,2.683870554
69,0.657299995,0.971639991,0.082075775,2.69608736
70,0.662100017,0.970359981,0.083495177,2.686775684
71,0.67019999,0.970579982,0.084273167,2.632667542
72,0.665400028,0.965619981,0.098957203,2.653440714
73,0.663699985,0.973339975,0.075418018,2.660294294
74,0.665799975,0.973219991,0.075912014,2.698510408
75,0.675700009,0.978739977,0.059389409,2.787058592
76,0.6778,0.983640015,0.046708196,2.818925142
77,0.679099977,0.991259992,0.026515644,2.816827774
78,0.684000015,0.998539984,0.007763872,2.952935934
79,0.683799982,0.999979973,0.002055803,2.998619556
80,0.685100019,1,0.001048179,3.04354763
81,0.683700025,1,0.000829399,3.092503071
82,0.684400022,1,0.000718798,3.127336264
83,0.683099985,1,0.000641663,3.154661417
84,0.683399975,1,0.000583287,3.18317461
85,0.684700012,1,0.0005344,3.208094835
86,0.684099972,1,0.000495509,3.230625629
87,0.684199989,1,0.000462306,3.250231981
88,0.683799982,1,0.000434776,3.269052267
89,0.684400022,1,0.000410025,3.28839922
90,0.685100019,1,0.000388321,3.305000782
91,0.684899986,1,0.00036969,3.321612358
92,0.683899999,1,0.000352145,3.334313631
93,0.684899986,1,0.000337345,3.349138737
94,0.684700012,1,0.00032322,3.363052607
95,0.684400022,1,0.00031021,3.375804186
96,0.684899986,1,0.000298613,3.386396646
97,0.683799982,1,0.000287944,3.40016675
98,0.684099972,1,0.000277759,3.410369635
99,0.684099972,1,0.0002692,3.420902729
100,0.683799982,1,0.000259961,3.429642677
101,0.684499979,1,0.000252603,3.441433191
102,0.684199989,1,0.000243953,3.451781034
103,0.684599996,1,0.000238347,3.460415363
104,0.684400022,1,0.000231135,3.470990181
105,0.683799982,1,0.000224813,3.478697062
106,0.684199989,1,0.000218782,3.487642765
107,0.684300005,1,0.00021336,3.495337248
108,0.684700012,1,0.000208122,3.503348112
109,0.684400022,1,0.00020321,3.511380672
110,0.684599996,1,0.000198366,3.520439863
111,0.684599996,1,0.000193634,3.528093815
112,0.684899986,1,0.000189331,3.534460068
113,0.684300005,1,0.000185563,3.541748524
114,0.684499979,1,0.000181387,3.549844503
115,0.684800029,1,0.00017757,3.556587696
116,0.684400022,1,0.000174055,3.56318903
117,0.684499979,1,0.000170796,3.570403337
118,0.684099972,1,0.00016716,3.577839851
119,0.684400022,1,0.00016435,3.582546473
120,0.684400022,1,0.000160954,3.588516951
121,0.684199989,1,0.000158174,3.596086502
122,0.684400022,1,0.000155225,3.602278471
123,0.684599996,1,0.000152163,3.608380556
124,0.684400022,1,0.000149723,3.61367321
125,0.685000002,1,0.000147136,3.61992383
126,0.684000015,1,0.000144744,3.625217915
127,0.684499979,1,0.000142324,3.631260395
128,0.683899999,1,0.000139985,3.63733387
129,0.684400022,1,0.000137754,3.641298532
130,0.684000015,1,0.000135603,3.647059917
131,0.683799982,1,0.000133451,3.65266943
132,0.684000015,1,0.000131329,3.657746792
133,0.684099972,1,0.000129555,3.663617849
134,0.683899999,1,0.000127543,3.667773247
135,0.684199989,1,0.000125742,3.673223972
136,0.684300005,1,0.000123872,3.677950144
137,0.684199989,1,0.000122047,3.681719065
