Step,T4,T4_min,T4_max,T3,T3_min,T3_max,T2,T2_min,T2_max,T1,T1_min,T1_max
0,79.0261294,43.64391708,108.0578003,12.89175479,9.756404877,15.09240055,47.22744115,39.6476593,59.15776062,4.3794806,4.273321152,4.485640049
,,35.38221232,29.03167089,,3.135349909,2.200645765,,7.57978185,11.93031947,,0.106159449,0.106159449
