Step,0,1,2,3,4,5,6,7,,,,,,
0,1366.177673,1097.50351,1067.651672,1080.40033,1067.212921,1062.544464,1075.005005,1133.860046,,,,,,
1,1420.888489,732.7845764,638.5586548,563.6998596,552.2492218,554.4541931,560.0053406,750.322052,,,,,,
2,1798.544617,962.1867676,731.6331482,620.4476929,547.5465393,518.9259796,506.5094299,835.6779785,,,,,,
3,2143.07074,1313.328979,1067.308899,831.9304504,647.0802612,578.0596924,595.142395,1105.883026,,,,,,
4,2540.535889,1725.94281,1313.646851,1117.150818,827.2025452,725.4321594,762.5823059,1394.577515,,,,,,
5,2891.667358,2146.344788,1816.63031,1497.993591,1300.512085,1033.745148,1092.608429,1829.304565,,,,,,
6,3004.390625,2575.60022,2201.805481,1901.339111,1547.25647,1310.904968,1303.244446,2204.788208,,,,,,
7,3424.261108,2987.873169,2891.278564,2713.617188,2291.200989,1990.229431,1881.096008,2752.298218,,,,,,
8,3622.673462,3669.455688,3684.487549,3539.399658,3061.979004,2710.596802,2601.298218,3264.292969,,,,,,
9,4312.638672,4727.575317,4689.012695,4627.393311,4242.910522,3533.948486,3291.787476,4411.414673,,,,,,
10,5384.228638,5614.776855,5968.56958,5871.031738,5444.096924,4666.81958,4383.769287,5471.341064,,,,,,
11,6672.353271,8159.3125,8037.44043,8335.218262,7968.607666,6967.855713,6866.66626,8060.19458,,,,,,
12,7485.79248,10615.99902,10788.31226,11204.79248,10715.39404,9487.905273,9799.058838,11305.74951,,,,,,
13,9762.946777,11788.18506,13129.26709,12980.35693,12652.84277,11919.20166,11753.6333,13020.49219,,,,,,
14,10310.1084,14102.28711,14241.83398,16087.37695,15813.64404,13579.05762,14338.45752,15664.66406,,,,,,
15,12808.46631,17496.56104,18267.61865,18712.41016,19200.40234,18924.95508,19005.97949,20807.46973,,,,,,
16,13794.89697,20038.91162,20782.61035,22226.22168,22076.91113,20896.99316,21990.69727,23772.65137,,,,,,
17,13538.46924,21600.47949,22124.56348,24867.56738,26407.55176,25664.50391,26092.29785,28931.84863,,,,,,
18,12415.0708,23672.11914,23259.18945,26442.63379,28089.28418,27761.83105,27242.81152,32036.97168,,,,,,
19,16589.94141,23531.65039,25031.41992,27631.82813,29042.80664,27645.44727,25224.875,28501.95801,,,,,,
20,13333.1377,23199.62012,25233.19141,30336.55566,33540.33887,31984.41406,31702.96777,34785.0625,,,,,,
21,15183.61816,25641.92773,27879.00586,29385.73438,34268.44141,33277.67188,31282.94727,32640.16211,,,,,,
22,12516.05713,24231.94336,29309.85059,31567.96094,35562.24219,36696.17871,31268.62109,35740.86523,,,,,,
23,14394.96973,28014.80762,28918.12402,32941.96777,33791.06836,34427.45508,31504.65625,32125.04004,,,,,,
24,13109.51318,27086.38672,32442.14551,32913.99805,37146.125,36625.21875,35046.53906,40044.66406,,,,,,
25,13150.03223,25459.64844,29686.41992,29862.92969,34814.50195,33637.6709,31075.17383,32720.44043,,,,,,
26,13527.98145,26181.49707,30530.31836,34966.88867,35574.875,37883.04492,34860.45508,36454.24902,,,,,,
27,13600.18408,27220.16992,31125.46289,33528.56152,39863.66406,37704.65039,32918.33398,36717.48047,,,,,,
28,13167.89746,30846.11719,34116.01563,35838.03711,40832.89453,45241.32617,39541.125,41670.33789,,,,,,
29,11933.04053,27934.09277,32139.25879,34418.00684,38757.29883,40669.81836,35699.89453,37829.23828,,,,,,
30,12191.02344,25833.51953,31276.16992,34374.96875,40015.69336,40142.0625,36885.17188,40194.4043,,,,,,
31,10379.13184,26819.37012,33435.39746,38128.25586,44280.07227,42358.69727,41600.99805,43215.81445,,,,,,
32,11964.35254,29187.33887,33047.99609,39721.04688,45494.16211,45287.63281,43517.37305,43989.19727,,,,,,
33,11665.20605,29152.01758,34559.34766,34989.03125,40567.78125,44231.74023,39572.4375,43107.49023,,,,,,
34,11008.86865,24792.87109,38150.74219,37033.0957,45320.20508,43478.1582,41096.39063,44529.58789,,,,,,
35,10666.44824,27123.49121,36468.52344,37997.66992,44548.83398,45659.47266,42146.1875,48794.28516,,,,,,
36,10744.10352,28354.86426,33456.33789,36956.16211,42165.92578,41208.66016,39627.60352,44339.29297,,,,,,
37,11383.35254,28430.23438,37808.14063,39372.39453,43250.78125,47116.15234,43208.36914,42514.21875,,,,,,
38,9414.560059,26786.91797,37219.19531,38487.0957,46473.14258,46706.2207,43256.01367,46867.87695,,,,,,
39,12656.68848,28755.48438,38326.22656,40474.09961,44837.70898,48125.28516,45409.70313,49200.22461,,,,,,
40,9893.666504,26015.52637,35920.4043,38986.94531,46432.60352,45407.91797,43985.03906,44827.69727,,,,,,
41,10331.23291,27943.2666,35631.55762,38888.61914,42608.58789,44723.76367,44363.73242,43360.95898,,,,,,
42,9564.570313,25783.77441,34455.01367,39059.13477,43368.25391,48189.57813,44861.875,43375.51172,,,,,,
43,10450.65869,27124.79395,35307.90625,36700.96094,41340.37891,41964.64258,39227.54297,40705.53711,,,,,,
44,9664.967285,24805.24512,34912.55859,40164.42578,44541.5625,45527.39844,43474.97852,46914.39258,,,,,,
45,7694.369141,26551.40625,38804.42188,41786.47266,47536.67969,47690.05469,48125.5957,46454.4082,,,,,,
46,8408.284912,27343.33398,39499.05469,39492.71484,44001.03711,48564.58789,47921.14258,45913.80859,,,,,,
47,5639.378784,26136.01367,37984.81445,40706.01758,43885.55078,47801.36523,51491.89063,45113.56445,,,,,,
48,7781.362305,27893.01758,38322.05859,41117.24023,47787.45508,50853.90039,48592.12695,47004.76563,,,,,,
49,7225.213379,24507.28223,38170.18359,40208.72461,45911.37305,51346.09375,48813.7207,51525.13477,,,,,,
50,7151.381836,27510.07129,38386.76367,42132.92969,47304.52734,52375.33984,52227.30273,49398.23242,,,,,,
51,6614.943604,23234.84473,37323.97656,39690.43555,47792.76367,48142.89063,48313.89453,51298.07227,,,,,,
52,7832.59375,26165.06543,38961.70313,40173.91016,46416.94531,48379.57031,49504.1582,49435.31836,,,,,,
53,7052.835205,23757.16797,35766.41406,40716.30859,48092.00195,52271.19531,52641.66602,52129.08594,,,,,,
54,7622.653564,23140.80469,38203.47852,39969.90625,43739.60352,49035.19922,45645.5625,47702.05859,,,,,,
55,9219.05957,26463.02051,35712.88281,38327.4707,43887.68945,46873.64844,46635.19727,45054.17188,,,,,,
56,5511.671631,25333.47266,38353.88281,44701.32227,47892.95117,52495.65234,54169.58398,49681.12305,,,,,,
57,7202.959229,23397.02246,36395.39063,42723.96484,46358.97852,51829.18945,51108.59766,51405.16602,,,,,,
58,6873.732666,23057.79785,36884.21289,37483.56055,44444.23047,46709.91797,49810.56055,45979.52344,,,,,,
59,8562.091553,24326.53418,33806.75781,42424.26563,43726.98047,51443.05859,48771.54883,46805.10938,,,,,,
60,5477.890625,24674.58984,37713.74414,42046.07227,47306.49219,53412.10352,51259.83398,51173.48828,,,,,,
61,5582.975098,23690.22266,37808.24023,43790.41406,48238.18555,56049.77344,54159.49609,53180.73438,,,,,,
62,5363.01416,22369.81641,36063.62305,42152.70703,47393.08789,52475.21875,51949.31641,48706.72852,,,,,,
63,6204.112793,22115.6123,37057.49805,42683.41211,45784.66016,48981.58984,47065.64844,47059.57227,,,,,,
64,6929.757324,22782.55957,37862.88867,41550.50586,46077.48047,50492.74219,47602.23633,47616.26953,,,,,,
65,5986.862549,21634.72559,36030.5,40750.63086,45901.31641,51971.01367,49839.39844,49344.75,,,,,,
