Step,0,1,2,3,4,5,6,7,,,,,,
0,1807.022583,1471.204468,1369.707153,1389.745605,1224.718628,1159.463135,1122.657715,1353.418701,,,,,,
1,2705.666016,2895.969971,3331.037842,3458.947266,3680.058838,3370.824219,3491.00415,3276.990967,,,,,,
2,2968.519043,4679.813477,5056.652832,5695.36377,5331.371094,5060.094727,5076.448242,6264.925293,,,,,,
3,2171.193359,5578.529297,7131.086426,7884.824219,8286.481445,8358.712891,8229.057617,8153.871094,,,,,,
4,2124.270508,4889.796387,6025.790527,6287.075684,7188.013184,8039.972168,7907.372559,7275.702637,,,,,,
5,2122.165039,5074.175781,5878.243652,6495.590332,6807.685059,7270.925781,7469.526367,6803.737793,,,,,,
6,2401.034668,4902.390137,7083.416992,7335.860352,8454.868164,9749.154297,9682.40625,9213.496094,,,,,,
7,1626.870361,4121.865234,6192.308594,7249.742188,8603.237305,9565.542969,9796.387695,9160.235352,,,,,,
8,1608.663452,4672.626465,7229.544434,7900.580566,8753.103516,9349.767578,10782.7666,9057.72168,,,,,,
9,1460.828003,4434.100098,6231.211914,7603.70459,8604.397461,10271.4502,10349.89355,9975.477539,,,,,,
10,1468.294678,3883.172363,6077.817871,7533.709473,8240.930664,9770.542969,9661.233398,9124.152344,,,,,,
11,1694.16272,4253.621582,5422.460938,7198.697266,8081.196777,8619.092773,8817.870117,8500.305664,,,,,,
12,1320.434082,3556.809814,5616.107422,7166.272461,8104.719238,8785.322266,9769.517578,8965.800781,,,,,,
13,925.4468384,3810.795898,5719.423828,7749.912109,8645.4375,8930.708008,9487.416992,8967.801758,,,,,,
14,707.8882446,3229.742676,6005.336426,8393.756836,9444.741211,10599.66992,11339.90527,11186.94141,,,,,,
15,765.5385742,3413.628906,5382.76416,6944.247559,8972.618164,10165.24805,10824.64844,11375.20117,,,,,,
16,406.170105,3074.238525,5355.916504,7592.685059,8692.582031,9440.835938,10400.52148,10567.91309,,,,,,
17,477.2319641,2720.122803,4899.723145,8175.981934,9274.297852,10890.57031,12171.4668,12372.40625,,,,,,
18,614.3684692,2496.882813,4757.869141,7105.6875,8735.532227,9541.517578,10602.13477,10012.1875,,,,,,
19,443.3730164,2559.215088,5033.761719,6671.34668,8631.586914,9851.185547,10705.33496,10911.42383,,,,,,
20,302.4058533,1957.279053,3995.359619,6248.156738,8890.597656,10913.1377,12453.6377,12804.07031,,,,,,
21,348.6819153,1382.371094,3708.338379,6142.290527,8591.113281,9966.146484,11763.20215,11952.78613,,,,,,
22,337.4739075,1615.901245,3653.830322,6311.086426,8373.34082,10646.75586,11968.40918,12993.74121,,,,,,
