Step,train_acc,train_loss,test_loss,test_acc
112,0.972691238,0.086479872,3.65924263,0.666000009
113,0.974351764,0.077956565,3.841560841,0.671700001
114,0.971410871,0.090338156,3.882151842,0.66930002
115,0.972051084,0.085552603,3.74155426,0.6699
116,0.969810367,0.093204051,3.880463362,0.664699972
117,0.97223109,0.088402554,4.04391098,0.669099987
118,0.971810997,0.087877661,3.951523066,0.668299973
119,0.967889726,0.101765864,3.903997183,0.671899974
120,0.972171068,0.086449042,3.989402056,0.670300007
121,0.972171068,0.090274632,3.930681944,0.66839999
122,0.972891331,0.08500465,3.981543064,0.665799975
123,0.973991692,0.08284653,4.055577755,0.665400028
124,0.971370816,0.090748735,4.063400745,0.667200029
125,0.972871304,0.082330547,4.064644337,0.671000004
126,0.970770657,0.094717041,3.949255466,0.671299994
127,0.974771917,0.078647546,4.053304672,0.66900003
128,0.971090734,0.091560937,4.182516098,0.666499972
129,0.972991347,0.086092278,4.066320419,0.668600023
130,0.973911643,0.084200501,4.118506908,0.673900008
131,0.972791314,0.087242909,4.305159569,0.666100025
132,0.974151731,0.086041071,4.123949051,0.669499993
133,0.97297138,0.08782126,4.266147614,0.668900013
134,0.974191725,0.084740564,4.298856735,0.667100012
135,0.974391818,0.082058251,4.29012394,0.671700001
136,0.974271774,0.082287706,4.270712852,0.665799975
137,0.972651243,0.087209284,4.490659237,0.671800017
138,0.973991692,0.082211353,4.257733345,0.671599984
139,0.975012004,0.082009524,4.378362656,0.671800017
140,0.974651873,0.084707469,4.391604424,0.664499998
141,0.973291457,0.091336846,4.456690311,0.664399981
142,0.975272059,0.08242783,4.590938091,0.664799988
143,0.974391818,0.083858073,4.309576988,0.670700014
144,0.973551512,0.087250754,4.344883442,0.671299994
145,0.976232409,0.080662005,4.476762295,0.671899974
146,0.973211408,0.090629205,4.342555523,0.671700001
147,0.974711895,0.0845185,4.418168068,0.671599984
148,0.972811282,0.090041086,4.50601244,0.66869998
149,0.97445184,0.08529257,4.511155128,0.665799975
150,0.975272059,0.084415928,4.488715649,0.663900018
