Step,train_acc,train_loss,test_loss,test_acc
0,0.406350166,1.634389997,1.664640427,0.409099996
1,0.533673882,1.299158692,1.338952065,0.521099985
2,0.599078536,1.122142315,1.310449004,0.532000005
3,0.651482344,0.978231966,1.184381604,0.577400029
4,0.699539244,0.85228163,1.178388238,0.591099977
5,0.741726756,0.732484162,1.207386374,0.58859998
6,0.787960708,0.6065166,1.414519191,0.550800025
7,0.827764452,0.495687604,1.339804769,0.5898
8,0.86760819,0.38708654,1.328219414,0.60650003
9,0.899859786,0.299499482,1.417090893,0.598699987
10,0.925380588,0.226525784,1.501715422,0.603799999
11,0.941346169,0.178752884,1.680563927,0.600199997
12,0.958373368,0.12975429,1.748914242,0.595700026
13,0.96903044,0.099208958,1.723669887,0.611500025
14,0.975641012,0.079800829,1.895244718,0.605499983
15,0.978705943,0.070016459,1.893928528,0.610099971
16,0.977924705,0.068974122,1.838074446,0.624100029
17,0.98395431,0.053172976,1.989434958,0.602400005
18,0.98772037,0.041658401,1.984726191,0.623600006
19,0.991406262,0.031460863,1.933593988,0.623700023
20,0.991165876,0.031438705,1.982766628,0.622500002
21,0.995853364,0.01814826,1.962522626,0.635100007
22,0.997075319,0.012578723,2.004993677,0.637300014
23,0.998277247,0.009691212,1.985263228,0.636900008
24,0.998357356,0.008095401,2.090100288,0.629499972
25,0.998878181,0.006852293,2.138145924,0.627900004
26,0.999499202,0.00440621,2.074185371,0.634800017
27,0.999819696,0.002681381,2.032833576,0.645699978
28,0.999919891,0.002146039,2.033745766,0.643400013
29,0.999659479,0.002677905,2.05645442,0.642799973
30,0.999599338,0.002427439,2.098274231,0.644200027
31,0.999839723,0.001910399,2.091156483,0.641200006
32,0.99985975,0.001612243,2.072716475,0.645299971
33,0.999899864,0.001426073,2.087520599,0.645399988
34,0.999959946,0.001028411,2.092872381,0.646300018
35,0.999879837,0.001252372,2.103452921,0.646200001
36,0.999979973,0.000974102,2.109003305,0.648299992
37,0.999959946,0.000934047,2.121204376,0.646000028
38,0.999819696,0.001306771,2.119978905,0.6505
39,1,0.000848201,2.122070313,0.647400022
40,1,0.000736302,2.130453825,0.646499991
41,0.999979973,0.000694025,2.143776178,0.644900024
42,0.999979973,0.000711824,2.129509449,0.646499991
43,0.999979973,0.000606989,2.137015343,0.647599995
44,1,0.000552993,2.138309002,0.648000002
45,0.999979973,0.000660972,2.153641462,0.647599995
46,0.999939919,0.000714782,2.158788443,0.645900011
47,0.999899864,0.000807947,2.155887127,0.646200001
48,0.999979973,0.00055446,2.148896456,0.647300005
49,1,0.000543926,2.158222914,0.648599982
50,1,0.000503421,2.172821522,0.649200022
51,1,0.000540808,2.17718339,0.646399975
52,1,0.000422206,2.185673952,0.649800003
53,0.999959946,0.00065078,2.19351244,0.648800015
54,1,0.000469381,2.184305668,0.649999976
55,1,0.000370991,2.189902544,0.648199975
56,1,0.000403311,2.208063841,0.646300018
57,0.999939919,0.000615927,2.21255064,0.646700025
58,0.999979973,0.000400346,2.192192316,0.649200022
59,0.999939919,0.000483005,2.200071096,0.646200001
60,1,0.000381027,2.20712018,0.648100019
61,1,0.000384542,2.216951847,0.648199975
62,0.999939919,0.000484982,2.217574358,0.648800015
63,0.999979973,0.000454132,2.309777737,0.638700008
64,1,0.000371265,2.21599412,0.648199975
65,1,0.000304896,2.216867685,0.648400009
66,1,0.000301172,2.22802639,0.650099993
67,0.999979973,0.000339273,2.237436533,0.647300005
68,0.999979973,0.000334312,2.228394032,0.647099972
69,0.999979973,0.000364565,2.230972052,0.647599995
70,1,0.000306349,2.233586788,0.648100019
71,1,0.000298678,2.231276751,0.648599982
72,1,0.000316009,2.242693663,0.648299992
73,0.999939919,0.000464293,2.249030113,0.646600008
74,0.999979973,0.00036845,2.245127439,0.647000015
75,1,0.000312761,2.257775307,0.646099985
76,1,0.000257745,2.253328085,0.646300018
77,1,0.000305319,2.252887011,0.646799982
78,0.999979973,0.000373018,2.262175322,0.644299984
79,1,0.000304614,2.249366522,0.647400022
80,1,0.000222243,2.253074408,0.648599982
81,1,0.000259574,2.255583286,0.648299992
82,1,0.000241102,2.264111996,0.647499979
83,0.999979973,0.000324769,2.272881985,0.645900011
84,1,0.000256083,2.256952047,0.649299979
85,1,0.000265287,2.262949705,0.646799982
86,1,0.000228495,2.269535542,0.646899998
87,1,0.000209377,2.262971401,0.648800015
88,1,0.000222574,2.257248402,0.647199988
89,1,0.000242062,2.278211117,0.647700012
90,1,0.000237234,2.268342495,0.648100019
91,0.999979973,0.000249657,2.283329248,0.646200001
92,1,0.0002351,2.265378714,0.646700025
93,1,0.000204157,2.268920422,0.646899998
94,1,0.000208521,2.278484821,0.649100006
95,1,0.000198628,2.286282539,0.648199975
96,0.999979973,0.000238543,2.282499313,0.648999989
97,0.999979973,0.000232019,2.282296419,0.648000002
98,1,0.000200828,2.297006607,0.648699999
99,1,0.000183445,2.296604156,0.647599995
100,1,0.000177116,2.283492088,0.647599995
101,0.999979973,0.000265979,2.288159847,0.649999976
102,1,0.000242539,2.288630009,0.648199975
103,1,0.000204976,2.287092924,0.649399996
104,1,0.000214586,2.294976473,0.647700012
105,1,0.000205153,2.291080475,0.646799982
106,0.999979973,0.000184423,2.301971197,0.645600021
107,0.999939919,0.000347122,2.298288584,0.646399975
108,0.999939919,0.000386917,2.321222544,0.644999981
109,0.999979973,0.000338515,2.299165964,0.649100006
110,0.999979973,0.000260362,2.305722952,0.647199988
111,1,0.000222811,2.310709,0.650200009
112,1,0.000197991,2.293903351,0.653199971
113,1,0.000227013,2.312182188,0.651600003
114,1,0.000209708,2.32094264,0.647899985
115,0.999979973,0.000215461,2.311409473,0.650099993
116,1,0.000173464,2.318143845,0.649200022
117,1,0.000162302,2.303432703,0.649399996
118,1,0.000158251,2.310482264,0.65140003
119,1,0.000150746,2.318275452,0.650699973
120,1,0.000160114,2.329467297,0.647800028
121,1,0.000167285,2.321988344,0.649699986
122,1,0.000139857,2.325313091,0.649800003
123,1,0.000139405,2.319917917,0.649699986
124,1,0.000195754,2.321038008,0.649500012
125,0.999979973,0.000203227,2.326901913,0.647800028
126,1,0.000156521,2.321280241,0.649399996
127,1,0.000158016,2.323654652,0.648500025
128,1,0.000211527,2.327105522,0.648500025
129,1,0.000171925,2.347618341,0.648999989
130,1,0.000242475,2.341250658,0.648999989
131,1,0.000184142,2.331893921,0.648299992
132,1,0.000171031,2.340973854,0.649299979
133,1,0.000168525,2.344637156,0.648800015
134,1,0.000141106,2.33099246,0.649699986
135,1,0.000165086,2.34035182,0.647300005
136,1,0.000156444,2.348433971,0.646899998
137,1,0.000150701,2.349851847,0.647700012
138,0.999979973,0.00021924,2.352452755,0.646099985
139,0.999979973,0.00017564,2.348169327,0.644500017
140,1,0.000131094,2.354895115,0.648400009
141,1,0.000167074,2.357146978,0.645399988
142,1,0.000188523,2.360786438,0.647700012
143,1,0.000134474,2.363351107,0.646600008
144,1,0.000146558,2.361130476,0.648199975
145,1,0.00012062,2.352595806,0.648999989
146,1,0.00013887,2.352225542,0.645699978
147,1,0.000135003,2.355286837,0.646700025
148,1,0.000112402,2.363842964,0.646300018
149,1,0.000129542,2.362570763,0.646899998
150,1,0.000116241,2.354776859,0.649999976
